FID,OBJECTID,SHAPE,BEZEICHNUNG,ADRESSE,FZG_ANZAHL,KATEGORIE,WEITERE_INF,SE_ANNO_CAD_DATA
CARSHARINGOGD.7380,7380,POINT (16.406631177005405 48.21827966223926),,"02., Sebastian-Kneipp-Gasse 2",1,,https://www.stadtauto.at/,
CARSHARINGOGD.7381,7381,POINT (16.386291115008436 48.206594050286554),,"03., Invalidenstraße 5",1,,https://www.stadtauto.at/,
CARSHARINGOGD.7382,7382,POINT (16.38998627451416 48.202349608178615),,"03., Landstraßer Hauptstraße 50",1,,https://www.stadtauto.at/,
CARSHARINGOGD.7383,7383,POINT (16.36592519234559 48.190497139239056),,"04., Klagbaumgasse 3",1,,https://www.stadtauto.at/,
CARSHARINGOGD.7384,7384,POINT (16.366169251086937 48.198658594748586),,"04., Operngasse 24",1,,https://www.stadtauto.at/,
CARSHARINGOGD.7385,7385,POINT (16.35555725187227 48.1964081178407),,"06., Linke Wienzeile 68",1,,https://www.stadtauto.at/,
CARSHARINGOGD.7386,7386,POINT (16.35081828046718 48.20020110243457),,"07., Lindengasse 30",1,,https://www.stadtauto.at/,
CARSHARINGOGD.7387,7387,POINT (16.344269317361523 48.20426608738123),,"07., Burggasse 83a",1,,https://www.stadtauto.at/,
CARSHARINGOGD.7388,7388,POINT (16.351195298615597 48.21488903197954),,"08., Alser Straße 21",1,,https://www.stadtauto.at/,
CARSHARINGOGD.7389,7389,POINT (16.354840272307516 48.20888805866495),,"08., Auerspergstraße 17",1,,https://www.stadtauto.at/,
CARSHARINGOGD.7390,7390,POINT (16.362768260682806 48.22844396020322),,"09., Gussenbauergasse 5-7",1,,https://www.stadtauto.at/,
CARSHARINGOGD.7391,7391,POINT (16.364591238161488 48.2188940043536),,"09., Berggasse 25",1,,https://www.stadtauto.at/,
CARSHARINGOGD.7392,7392,POINT (16.32764736890014 48.18304919878055),,"12., Schönbrunner Straße 269",1,,https://www.stadtauto.at/,
CARSHARINGOGD.7393,7393,POINT (16.30309149554721 48.18749419278008),,"13., Hietzinger Hauptstraße 4",1,,https://www.stadtauto.at/,
CARSHARINGOGD.7394,7394,POINT (16.326658410358874 48.20915107443881),,"16., Richard Wagner Platz 10",1,,https://www.stadtauto.at/,
